,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MapRefNo,Prop_Addr,geocode,lat,lng
16,906380120,1274,203000,20,RL,68.0,8814,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,0,,,,0,1,2007,New,Partial,906380120.0,"319 HARTFORD DR, AMES, IOWA, USA","(42.0251892, -93.689414)",42.0251892,-93.689414
17,909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,,,,,0.0,0.0,,,N,0,0,100,0,0,0,,,,0,9,2008,WD ,Normal,909101060.0,"2910 WOOD ST, AMES, IOWA, USA","(42.0219435, -93.6578284)",42.0219435,-93.6578284
18,534152050,1610,205000,20,RL,,10603,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,0,0,,,,0,2,2010,WD ,Normal,534152050.0,"2102 PRAIRIE VIEW EAST, AMES, IOWA, USA","(42.0427279, -93.6364656)",42.0427279,-93.6364656
19,923252075,1091,131250,80,RL,62.0,7706,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,,,Shed,700,8,2009,WD ,Normal,923252075.0,"424 TEAGARDEN DR, AMES, IOWA, USA","(41.9874181, -93.60549669999999)",41.9874181,-93.60549669999999
20,531376060,1486,181000,20,RL,65.0,7441,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2007,WD ,Normal,531376060.0,"1514 CALIFORNIA AVE, AMES, IOWA, USA","(42.0373615, -93.6909696)",42.0373615,-93.6909696
21,902201120,789,115000,20,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Partial,902201120.0,"1216 CARROLL AVE, AMES, IOWA, USA","(42.0338407, -93.6087163)",42.0338407,-93.6087163
22,923228080,1092,98000,160,RM,21.0,1477,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,TA,6,Typ,0,,,,,0.0,0.0,,,Y,187,0,0,0,0,0,,,,0,3,2008,WD ,Normal,923228080.0,"626 MEADOW PL, AMES, IOWA, USA","(41.992358, -93.602363)",41.992358,-93.602363
23,902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,0,0,,,,0,5,2009,WD ,Normal,902326030.0,"829 DOUGLAS AVE, AMES, IOWA, USA","(42.0299362, -93.612577)",42.0299362,-93.612577
24,527451330,1092,105500,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,527451330.0,"1342 BARKLEY CT, AMES, IOWA, USA","(42.05142499999999, -93.62837379999999)",42.05142499999999,-93.62837379999999
25,528218100,1458,168165,60,RL,58.0,13204,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,0,0,,,,0,5,2007,New,Partial,528218100.0,"4205 CRESTMOOR AVE, AMES, IOWA, USA","(42.0619931, -93.6457501)",42.0619931,-93.6457501
26,916386140,1466,201000,20,RL,73.0,8925,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,0,0,,,,0,7,2009,WD ,Normal,916386140.0,"3028 COTTONTAIL LN, AMES, IOWA, USA","(41.9943624, -93.650251)",41.9943624,-93.650251
27,533221090,1573,177500,160,FV,,2117,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,Gd,5,Typ,0,,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2010,WD ,Normal,533221090.0,"2711 HAMPTON ST, AMES, IOWA, USA","(42.0461999, -93.6459407)",42.0461999,-93.6459407
28,534128010,2090,200000,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD ,Normal,534128010.0,"1636 JOHNSON ST, AMES, IOWA, USA","(42.0489612, -93.63292249999999)",42.0489612,-93.63292249999999
29,528106110,2046,450000,20,RL,105.0,15431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,0,175,0,,,,0,8,2007,WD ,Normal,528106110.0,"3331 WESTON DR, AMES, IOWA, USA","(42.0614353, -93.65784819999999)",42.0614353,-93.65784819999999
30,902206260,886,91300,30,RM,50.0,5784,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,0,0,,,,0,12,2009,WD ,Normal,902206260.0,"926 DUFF AVE, AMES, IOWA, USA","(42.0311722, -93.61028429999999)",42.0311722,-93.61028429999999
31,528222090,1258,173500,20,RL,64.0,7697,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,New,Partial,528222090.0,"4302 WELBECK DR, AMES, IOWA, USA","(42.0632601, -93.6441465)",42.0632601,-93.6441465
32,528218150,1324,199500,20,RL,100.0,18494,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,,,,0,1,2010,WD ,Normal,528218150.0,"4103 CRESTMOOR AVE, AMES, IOWA, USA","(42.061763, -93.6444831)",42.061763,-93.6444831
33,903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,0,220,0,,,,0,6,2008,WD ,Normal,903400180.0,"816 BROOKRIDGE AVE, AMES, IOWA, USA","(42.0294103, -93.627195)",42.0294103,-93.627195
34,535453210,1269,155000,20,RL,70.0,7931,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD ,Normal,535453210.0,"1522 MAXWELL AVE, AMES, IOWA, USA","(42.0376593, -93.6065371)",42.0376593,-93.6065371
35,916386010,1346,220000,20,RL,88.0,11896,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2008.0,Fin,3.0,660.0,TA,TA,Y,100,48,0,0,0,0,,,,0,5,2010,WD ,Normal,916386010.0,"3005 CEDAR LN, AMES, IOWA, USA","(41.99515710000001, -93.6494563)",41.99515710000001,-93.6494563
36,907181090,1749,196000,60,RL,68.0,9272,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,GasA,Ex,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,1999.0,RFn,2.0,515.0,TA,TA,Y,140,85,0,0,0,0,,,,0,6,2006,WD ,Normal,907181090.0,"5408 CERVANTES DR, AMES, IOWA, USA","(42.0169302, -93.692)",42.0169302,-93.692
37,902206020,492,61500,30,RM,52.0,7830,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,GasA,TA,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,TA,3,Typ,0,,Detchd,1921.0,Unf,1.0,200.0,Fa,TA,N,0,0,78,0,0,0,,,,0,6,2006,WD ,Normal,902206020.0,"118 E 11TH ST, AMES, IOWA, USA","(42.0318476, -93.6096908)",42.0318476,-93.6096908
