PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
527451330,1092.0,105500.0,160,RM,21.0,1680.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525.0,567.0,0.0,0,0,1,1,3,1,TA,6,Typ,0,No Fireplace,Detchd,Unf,1,320.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,3,2010,WD ,Normal
528218100,1458.0,168165.0,60,RL,58.0,13204.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608.0,850.0,0.0,0,0,2,0,3,1,Gd,6,Typ,0,No Fireplace,BuiltIn,Fin,2,454.0,TA,TA,Y,100.0,33.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,5,2007,New,Partial
916386140,1466.0,201000.0,20,RL,73.0,8925.0,Pave,No Alley,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466.0,0.0,0.0,0,0,2,0,3,1,Gd,7,Typ,0,No Fireplace,Attchd,Fin,3,610.0,TA,TA,Y,100.0,18.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,7,2009,WD ,Normal
533221090,1573.0,177500.0,160,FV,0.0,2117.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769.0,804.0,0.0,0,0,2,1,3,1,Gd,5,Typ,0,No Fireplace,Detchd,Unf,2,440.0,TA,TA,Y,0.0,32.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2010,WD ,Normal
534128010,2090.0,200000.0,60,RL,0.0,10382.0,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107.0,983.0,0.0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,484.0,TA,TA,Y,235.0,204.0,228.0,0.0,0.0,0.0,No Pool,No Fence,Shed,350.0,11,2009,WD ,Normal
528106110,2046.0,450000.0,20,RL,105.0,15431.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046.0,0.0,0.0,1,0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,Fin,3,878.0,TA,TA,Y,188.0,65.0,0.0,0.0,175.0,0.0,No Pool,No Fence,No Misc Feature,0.0,8,2007,WD ,Normal
902206260,886.0,91300.0,30,RM,50.0,5784.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886.0,0.0,0.0,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,Attchd,Unf,1,273.0,TA,TA,Y,144.0,20.0,80.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,12,2009,WD ,Normal
528222090,1258.0,173500.0,20,RL,64.0,7697.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258.0,0.0,0.0,0,0,2,0,3,1,Gd,6,Typ,0,No Fireplace,Attchd,RFn,2,462.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,8,2007,New,Partial
528218150,1324.0,199500.0,20,RL,100.0,18494.0,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324.0,0.0,0.0,0,0,2,0,3,1,Gd,6,Typ,0,No Fireplace,Attchd,Fin,2,430.0,TA,TA,Y,36.0,23.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,1,2010,WD ,Normal
903400180,1848.0,207000.0,50,RL,64.0,13053.0,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053.0,795.0,0.0,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,Unf,2,370.0,TA,TA,N,0.0,0.0,0.0,0.0,220.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2008,WD ,Normal
535453210,1269.0,155000.0,20,RL,70.0,7931.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269.0,0.0,0.0,0,0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,Unf,1,308.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2008,WD ,Normal
916386010,1346.0,220000.0,20,RL,88.0,11896.0,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346.0,0.0,0.0,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,Fin,3,660.0,TA,TA,Y,100.0,48.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,5,2010,WD ,Normal
907181090,1749.0,196000.0,60,RL,68.0,9272.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,GasA,Ex,Y,SBrkr,856.0,893.0,0.0,0,0,2,1,3,1,Gd,7,Typ,0,No Fireplace,Attchd,RFn,2,515.0,TA,TA,Y,140.0,85.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2006,WD ,Normal
902206020,492.0,61500.0,30,RM,52.0,7830.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,GasA,TA,Y,SBrkr,492.0,0.0,0.0,1,0,1,0,1,1,TA,3,Typ,0,No Fireplace,Detchd,Unf,1,200.0,Fa,TA,N,0.0,0.0,78.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2006,WD ,Normal
527327050,2030.0,195000.0,60,RL,0.0,12046.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,Unf,0.0,692.0,848.0,GasA,TA,Y,SBrkr,1118.0,912.0,0.0,0,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,Fin,2,551.0,TA,TA,Y,0.0,224.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2007,WD ,Normal
527455250,988.0,129250.0,20,RL,65.0,7150.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,TA,TA,CBlock,TA,TA,No,BLQ,725.0,Unf,0.0,263.0,988.0,GasA,TA,Y,SBrkr,988.0,0.0,0.0,1,0,1,0,3,1,TA,5,Typ,0,No Fireplace,Detchd,Unf,1,360.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,11,2007,WD ,Normal
528326110,2172.0,291000.0,60,RL,0.0,11000.0,Pave,No Alley,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,Gd,TA,PConc,Ex,TA,Mn,Unf,0.0,Unf,0.0,1519.0,1519.0,GasA,Ex,Y,SBrkr,1533.0,639.0,0.0,0,0,2,1,4,1,Ex,8,Typ,1,TA,BuiltIn,RFn,3,687.0,TA,TA,Y,162.0,153.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2008,WD ,Normal
