iter	RMSE
249	4643.756907
250	4605.709205
251	4586.35257
252	4557.899867
253	4525.483136
254	4497.424951
255	4493.292703
256	4475.288162
257	4471.398632
258	4463.041996
259	4446.69523
260	4445.884491
261	4416.22377
262	4415.442512
263	4393.643735
264	4347.284809
265	4345.661193
266	4333.44499
267	4332.261409
268	4310.001308
269	4280.465321
270	4240.247958
271	4211.343892
272	4195.257395
273	4177.889064
274	4149.032852
275	4102.599774
276	4096.121509
277	4067.187106
278	4039.808304
279	4012.757829
280	3991.435062
281	3969.79045
282	3955.973204
283	3955.288473
284	3935.406159
285	3934.78955
286	3915.343585
287	3886.465918
288	3873.369006
289	3868.505629
290	3851.012836
291	3819.024007
292	3800.861357
293	3795.681261
294	3772.807028
295	3743.490582
296	3718.25938
297	3696.671132
298	3666.132343
299	3658.857823
300	3649.092114
301	3623.928019
302	3600.252597
303	3586.009504
304	3551.752016
305	3530.865833
306	3498.579101
307	3483.929721
308	3471.331206
309	3455.411844
310	3434.091377
311	3416.92579
312	3392.123342
313	3390.974217
314	3355.041865
315	3333.786032
316	3319.510689
317	3305.596522
318	3293.192036
319	3276.115232
320	3275.582995
321	3259.055137
322	3239.706192
323	3226.020819
324	3222.590478
325	3212.742054
326	3212.064439
327	3209.712895
328	3182.139536
329	3181.390109
330	3162.723605
331	3162.01859
332	3141.523759
333	3123.712451
334	3119.92983
335	3095.869229
336	3072.657714
337	3058.513781
338	3039.022201
339	3011.408035
340	3003.725995
341	2985.645338
342	2985.243912
343	2971.979703
344	2971.557245
345	2959.155875
346	2949.693639
347	2945.995634
348	2925.044168
349	2919.999528
350	2902.034554
351	2889.57783
352	2864.536145
353	2840.861738
354	2813.039762
355	2804.916421
356	2795.16315
357	2782.124621
358	2765.198025
359	2754.244985
360	2740.022128
361	2729.844155
362	2707.906104
363	2685.22527
364	2675.219412
365	2655.293791
366	2638.636075
367	2629.336571
368	2624.261893
369	2604.109225
370	2595.898655
371	2595.394526
372	2587.591144
373	2580.122121
374	2574.702613
375	2562.088043
376	2550.492327
377	2532.182034
378	2527.323908
379	2508.635575
380	2499.113818
381	2490.459281
382	2474.625682
383	2472.862208
384	2470.504548
385	2470.231341
386	2458.692398
387	2445.76151
388	2442.523584
389	2438.026659
390	2419.746608
391	2412.523246
392	2402.183103
393	2385.556293
394	2372.400462
395	2363.271205
396	2351.698789
397	2338.721096
398	2320.696731
399	2315.028133
400	2313.217621
401	2304.701674
402	2296.733194
403	2291.064097
404	2282.936513
405	2262.638209
406	2250.264635
407	2249.323193
408	2243.674555
409	2242.408768
410	2230.709347
411	2230.327489
412	2212.604178
413	2211.963792
414	2203.980587
415	2194.408185
416	2186.093554
417	2175.689996
418	2165.903118
419	2163.279367
420	2148.5548
421	2136.546415
422	2130.258612
423	2115.827109
424	2104.622353
425	2089.456492
426	2087.859816
427	2074.811522
428	2061.235077
429	2053.004033
430	2046.999949
431	2031.712034
432	2027.476617
433	2019.374367
434	2009.896068
435	2001.860524
436	1988.77213
437	1980.885095
438	1971.349295
439	1959.26745
440	1958.602579
441	1948.252206
442	1937.669997
443	1922.065681
444	1910.13703
445	1902.361888
446	1895.15273
447	1895.000774
448	1884.373375
449	1870.346862
450	1866.037218
451	1854.282948
452	1835.80056
453	1825.994798
454	1825.831177
455	1816.727145
456	1804.43823
457	1796.807704
458	1790.119713
459	1789.286526
460	1782.150498
461	1775.555745
462	1770.630566
463	1767.788404
464	1761.491997
465	1755.381988
466	1746.924246
467	1740.802968
468	1733.605848
469	1722.777586
470	1714.041761
471	1703.092154
472	1692.096605
473	1690.307527
474	1679.999202
475	1671.915752
476	1666.160903
477	1665.739303
478	1656.050233
479	1653.758831
480	1646.734039
481	1634.16399
482	1632.674536
483	1627.718997
484	1617.961626
485	1611.939756
486	1603.243366
487	1594.494282
488	1588.107598
489	1587.244802
490	1577.013694
491	1572.632584
492	1568.286478
493	1559.254583
494	1554.32788
495	1546.618711
496	1542.330059
497	1541.828912
498	1529.245151
499	1521.259506
