iter	Passed	Remaining
373	4856	1636
374	4869	1623
375	4882	1610
376	4895	1597
377	4907	1584
378	4920	1570
379	4932	1557
380	4944	1544
381	4955	1530
382	4968	1517
383	4980	1504
384	4993	1491
385	5005	1478
386	5017	1465
387	5030	1452
388	5042	1438
389	5053	1425
390	5066	1412
391	5079	1399
392	5092	1386
393	5104	1373
394	5117	1360
395	5130	1347
396	5142	1334
397	5154	1321
398	5167	1308
399	5179	1294
400	5191	1281
401	5204	1268
402	5217	1255
403	5229	1242
404	5242	1229
405	5255	1216
406	5268	1203
407	5280	1190
408	5293	1177
409	5306	1164
410	5319	1151
411	5331	1138
412	5344	1125
413	5357	1112
414	5370	1099
415	5382	1086
416	5395	1073
417	5408	1061
418	5421	1047
419	5434	1035
420	5446	1022
421	5458	1008
422	5472	996
423	5484	983
424	5497	970
425	5510	957
426	5522	944
427	5535	931
428	5548	918
429	5560	905
430	5573	892
431	5586	879
432	5597	866
433	5610	853
434	5623	840
435	5635	827
436	5648	814
437	5660	801
438	5674	788
439	5687	775
440	5699	762
441	5712	749
442	5725	736
443	5738	723
444	5750	710
445	5763	697
446	5775	684
447	5788	671
448	5801	658
449	5813	645
450	5826	633
451	5839	620
452	5851	607
453	5864	594
454	5876	581
455	5887	568
456	5900	555
457	5913	542
458	5925	529
459	5938	516
460	5951	503
461	5963	490
462	5976	477
463	5988	464
464	6001	451
465	6014	438
466	6026	425
467	6039	412
468	6052	400
469	6065	387
470	6077	374
471	6089	361
472	6102	348
473	6113	335
474	6126	322
475	6138	309
476	6151	296
477	6164	283
478	6175	270
479	6188	257
480	6201	244
481	6213	232
482	6225	219
483	6237	206
484	6250	193
485	6263	180
486	6279	167
487	6291	154
488	6303	141
489	6315	128
490	6328	116
491	6341	103
492	6354	90
493	6365	77
494	6378	64
495	6391	51
496	6402	38
497	6415	25
498	6428	12
499	6441	0
